Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
КГЦ399-01.80-50-400	80-50	400	800		Погрузчики	2 штуц. М22?1.5	Вилка с отв. D=40, проуш. с ШС40 S=50  	Рулевое управление погрузчиков: ПК-2202, ПК-2702, ПК-3302.
КГЦ400.60-50-55	60-50	55	182	Плунжерный	Гомсельмаш	1 отв. М20?1.5	Без привода	Вариатора молотильного аппарата 
КГЦ402.50-28-1300	50-28	1300	1535		Коммунальная	2 отв. М20?1.5	Отв. D=25	Подъем заднего борта МТУ-20
КГЦ407А.5-140-1935	140-120-100-80-56	1935	186	Телескопический	Сельхозтехника	1 отв. М20?1.5	Цапфы d=45, опора	Подъем прицепа тракторного ПТ-14С.
КГЦ417.50-25-320	50-25	320	523		Сельхозтехника	2 отв. М20?1.5	Проуш. с ШС25 S=20,  S=25 	Раскрытия секций штанги опрыскивателя ОТМ-2-3-01А.
КГЦ425.80-50-400	80-50	400	725		Автогрейдеры	см. чертеж	Проуш. с ШС40 с защитой	Подъём аутригеров машины ГМ-42.
КГЦ426.100-63-500	100-63	500	865		Спецтехника	"М22?1.5; М22?1.5"	Проуш. с ШС50 S=45	Подъём стрелы машины ГМ 42.
КГЦ427.100-50-560	100-50	560	925		Спецтехника	"М22?1.5; М22?1.5"	Проуш. с ШС50 S=45	Рукояти машины ГМ 42.
КГЦ428.100-50-200	100-50	200	415		Спецтехника	2 отв. К3/8	Проуш. с ШС35 S=30	Ковш машины ГМ42.
КГЦ433.80-40-188	80-40	94*2	748	Двухсторонний	МАЗ-КаМАЗ	3 отв. М30?1.5	Резьба М30, шарнир	"Блокировка колес третьей оси автобуса  ""МАЗ-107"". "
КГЦ438.125-63-880	125-63	880	1271		Спецтехника	2 штуц. М22?1.5	Проуш. с ШС60 S=52	Рукояти манипулятора М75-04.
КГЦ439.125-80-835	125-80	835	1266		Спецтехника	1 штуц. М27?1.5 1 штуц. G3/4	Проуш. с ШС70 S=55	Cтрелы манипулятора М75-04.
КГЦ441.50-32-200	50-32	200			Экскаваторы	2 отв. М16?1.5	Проуш. с ШС25 S=27, резьба М24	А-702ЕМ, А-703М
КГЦ442.63-40-825	63-40	825	1355		Спецтехника	2 отв. М18?1.5	Проуш. С ШС35 S=35	Телескопа манипулятора гидравлического М75-04. 
КГЦ444.63-45-200	63-45	200	415		Спецтехника	2 отв. G3/8	Проуш. с ШС35 S=30 	Захват ковша машины ГМ-42.
КГЦ456.50-25-44	50-25	44	211	Плунжерный	Спецтехника	1 отв. К 3/8	Вилка с отв D=12, отв. D=12	Рабочего тормоза самоходного шахтного 
КГЦ457.80-50-320	80-50	320	685		МТЗ	2 отв. М20?1.5	Проуш. с ШС40 с защитой	Гидроцилиндр управления лесной машины МПЛТ-354М1
КГЦ459.100-63-370	100-63	370	700		Лида-Гомель	2 отв. G3/8	Проуш. с ШС50 S=45	Подьем бороны АП-6.
КГЦ459-01.100-63-530	100-63	530	925		Лида-Гомель	2 отв. G3/8	Проуш. с ШС50 S=45	Подьем боковых секций бороны АП-6.
КГЦ460.2-120-410	120-100	410	485	Телескопический	Коммунальная	К3/8, К1/2	Проуш. с ШС50 S=45	Подъема самоходного вагона 5ВС-15М.
КГЦ462.160-80-900	160-80	900	1375		Погрузчики	Колодки фланцевого зажима	Проуш. S=88 мм с ШСЛ80	371, 371-01, 371АС
КГЦ463.3-120-3500	120-100-80	3500	1487	Телескопический	МАЗ-КаМАЗ	1 отв. КГ3/4	 Проуш. с ШС50 S=58 	"Подъем кузова ломовоза ""КАМАЗ-65115"""
КГЦ464.110-63-360	110-63	360	780		Погрузчики	2 отв. М27?2	Проуш. с ШС60 S=60	371, 371-01, 371АС
КГЦ465.200-100-560	200-100	560	1135		Погрузчики	Колодки фланцевого зажима	Проуш. S=72 с ШС90	371, 371АС
КГЦ465-01.200-100-560	200-100	560	1450		Погрузчики	Колодки фланцевого зажима	Проуш. S=72 с ШС90	371-01
КГЦ465А.200-100-560	200-100	560	1135		Погрузчики	Колодки фланцевого зажима	Проуш. S=85 с ШС90	Гидроцилиндр лесных машин ОАО Амкодор
КГЦ466.80-75-108	80-75	108	455	Плунжерный	Специальный	1 отв. К1/2?	Проуш. S=22 и S=10 с D=12	гидроцилиндр стояночного тормоза самоходного вагона 5ВС-15М
КГЦ471.110-63-565	110-63	565	985		Сельхозтехника	2 отв. М27?2	Проуш. с ШС50 S=50	"Гидросистемы рулевого управления землевоза ""Амкодор 20232""."
КГЦ471-01.110-63-565	110-63	565	985		Сельхозтехника	2 отв. М27?2	Проуш. с ШС50 S=50	"Гидросистемы рулевого управления землевоза ""Амкодор 20232""."
КГЦ472А.125-80-800	125-80	800	1320		Погрузчики	2 штуц. М30х2	Вилка с отв. D=70, проуш. с ШС70 S=65  	Стрелы А-342В, А-342С, А-342Р
КГЦ473.140-80-800	140-80	800	1325		Погрузчики	2 штуц. М33х2	Вилка с отв. D=70, проуш. с ШС70 S=66	Стрела Амкодор-342А (до 2000г)
КГЦ474.140-80-800	140-80	800	1275		Погрузчики	2 штуцера М27?1.5	Проуш. S=65 с ШС70	Для погрузчика АМК-90/11
КГЦ475.63-56-1400	63-56	1400	1677		Сельхозтехника	1 отв. М20?1.5	Проуш с ШC25, отв D=20	Гидроцилиндр стогометатей ПКУ-08, СНУ-550, ПСБ-800
КГЦ478.140-80-630	140-80	630	1005		Погрузчики	2 отв. G3/4	Проуш. с ШС50 S=50	Для погрузчика АМК-90/11.
КГЦ479.110-63-800	110-63	800	1200		Экскаваторы	2 отв. М27?2	Проуш. с ШС50 S=50	Подъем рукояти экскаватора ПЭ-82-02
КГЦ488.80-70-400	80-70	400	700		Лида-Гомель	1 отв. М20?1.5	Проуш. S=28 с подш. GE 25 ES-2RS	Кормоуборочный комбайн КВК-800
КГЦ496.63-40-1680	63-40	1680	2147		МАЗ-КаМАЗ	2 отв. М14?1.5	Вилки с двумя отв. D=21	Гидроцилиндр раздвижения опор КС-45717
КГЦ497.2-56-495	56-36	495	445	Телескопический	Сельхозтехника	1 штуц. М22?1.5	" Проуш. с ШС30 S=28; отв. d=30 S=28"	Гидроцилиндр подъёма плуга
КГЦ501А.110-56-970	110-56	970	1410		Экскаваторы	2 oтв. G3/4?	Проуш. с ШС60 S=65 	Стреловой от ковша до рукояти 732
КГЦ501А.110-63-970	110-63	970	1410		Экскаваторы	2 oтв. G3/4?	Проуш. с ШС60 S=65 	Стреловой от ковша до рукояти 732
КГЦ503.110-56-235	110-56	235	500		Экскаваторы	"М18?1.5; G1/2?"	Проуш. S=50 с ШС50, 2 цапфы D=70 со втулками	Поворот колонки 732
КГЦ503А.110-56-235	110-56	235	500		Экскаваторы	2 отв. М18?1,5	Проуш. S=50 с ШС50, 2 цапфы D=56 со втулками	Поворот колонки 732
КГЦ504.80-40-590	80-40	590	1340		Экскаваторы	2 штуц. М22?1.5	Проуш. S=50 с ШС50	Выворот ковша 732
КГЦ505.80-80-18	80-80	18	86	Плунжерный	Экскаваторы	2 отв. М18?1.5	1 отв. М18?1.5	Прижима коретки 732
КГЦ506.90-56-780	90-56	780	1170		Экскаваторы	2 отв. М22?1.5	Проуш. S=50 с ШС50	От каретки к передвижения рукояти 732
КГЦ507.90-56-750	90-56	750	1100		Экскаваторы	2 штуц. М22?1.5	Проуш. S=50 с ШС50	Подъем ковша 732
КГЦ507-01.90-56-750	90-56	750	1100		Экскаваторы	2 штуц. М22?1.5	Проуш. S=50 с ШС50	Подъем ковша 732
КГЦ508.80-40-230	80-40	230	560		Экскаваторы	2 штуц. М22?1.5	Проуш. S=40 с ШС40	Челюстной 732
КГЦ508-01.80-40-230	80-40	230	560		Экскаваторы	2 штуц. М22?1.5	Проуш. S=40 с ШС40	Челюстной 732
КГЦ517.4-120-864	120-100-80-63	864	428	Телескопический тц20.4-120-55-864	Коммунальная	1 штуц. М18?1.5	2 сферы d=50 мм	гидроцилиндр подъема кузова мусоровоза КО-440-2, 3, 4, 5, 6, 7
КГЦ518.125-50-400	125-50	400	797		"Трактор ""Кировец"""	2 отв. М18?1.5	Проуш. S=50 и 48 мм с ШС 50	Рулевое управление К-700
КГЦ518-01.125-50-400	125-50	400	797		"Трактор ""Кировец"""	2 отв. М18?1.5	Проуш. S=50 и 48 мм с ШС 50	
КГЦ518А.110-50-400	110-50	400	797		"Трактор ""Кировец"""	2 отв. М18?1.5	Проуш. S=50 с ШС 50	Рулевое управление К-700
КГЦ519.60-32-175	60-32	175	368	ц16-60-32-175-23	Коммунальная	2 отв. М18?1.5	1 проуш. S=30 с отв. D=20, резьба в штоке М20?1.5	гидроцилиндр мусоровозов КО-440-2,3,4,4К
КГЦ519-01.60-32-250	60-32	250	443	ц16-60-32-250-23	Коммунальная	2 отв. М18?1.5	1 проуш. S=30 с отв. D=20, резьба в штоке М20?1.5	"гидроцилиндр мусоровозов КО-440-2,3,4,4К; механизма подъёма плуга ДКТ-705"
КГЦ520.80-36-680	80-36	680	900	ц20-80-35-680.11Д	Коммунальная	2 отв. G3/8	Проуш. S=35 с ШС40	гидроцилиндр наклона стрелы манипулятора машин КО-440-2,3,4,4К
КГЦ521.60-32-145	60-32	145	320	ц16-60-32-145.27Д	Коммунальная	2 отв. G3/8	1 проуш. S=30 с отв. D=20, отверстие в штоке O20	гидроцилиндр захвата мусоровозов КО-440-2,3,4,4К
КГЦ522.110-70-1000	110-70	1000	1536	ц22-110-70-1000.15	Коммунальная	2 отв. М18?1.5	"Проуш. S=35 с ШС40; Резьба М36х2"	гидроцилиндр плиты пресса мусоровозов типа  КО-440-2,-3,-4,-4К
КГЦ523.80-50-250	80-50	250	515		Коммунальная	2 отв. М18?1.5	Проуш. S=40 и S30 с отв. D=40	подъем и опракидование контейнеров КО-440-2, 3, 4, 4К
КГЦ524.80-50-400	80-50	400	650	ц16-80-50-400.60	Коммунальная	2 отв. М18?1.5	Резьбы М39х2 и М12	для домкратов мусоровозов КО-440-2, 3, 4, 4К
КГЦ525.63-28-130	63-28	130	420		Гомсельмаш	2 отв. М20?1.5	Резьба М22?1.5	Рулевого управления комбайна КСК-600
КГЦ526.63-40-400	63-40	400	630	ц20-63-40-400.11	Коммунальная	2 отв. G3/8	Проуш. S=28 с ШС30	цилиндр опрокидывателя мусоровоза КО-440В
КГЦ527.100-56-400	100-56	400	800		Амкодор	2 штуц. М22?1.5	Проуш. S=50 мм с ШС50	Рулевой А-2662, А-2682
КГЦ528.3-100-1280	100-80-56	1280	600	Телескопический	Коммунальная	1 штуц. М20?1.5	сфера d=50, отв. сфера d=50	"гидроцилиндр подъема кузова мусоровозов серии ОК; подъёма прицепа 2ПТС-4"
КГЦ529.160-70-120	160-70	120	510		Сельхозтехника	2 отв. М22?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	"Гидроцилиндр БКУ; УДМ"
КГЦ529-01.160-70-200	160-70	200	590		Сельхозтехника	2 отв. М22?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	"Гидроцилиндр БКУ; УДМ"
КГЦ529-02.160-70-360	160-70	360	750		Сельхозтехника	2 отв. М22?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	Гидроцилиндр БКУ
КГЦ529-03.160-70-710	160-70	710	1115		Сельхозтехника	2 отв. М22?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	Гидроцилиндр БКУ
КГЦ529-04.160-70-800	160-70	800	1205		Сельхозтехника	2 отв. М22?1.5	Проуш. S=48 и S=56 мм с ШСЛ60	Гидроцилиндр БКУ
КГЦ531.80-40-85	80-40	85	275		Коммунальная	2 oтв. G3/8?	Проуш. S=40 с отв. D=30 и проуш. 30 с отв. D=20	"маханизм подъема плуга комбинированных машин: КО-829А; КО-829АД; КО-829Д"
КГЦ533.4-140-3000	140-120-100-80	3000	1460	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	Гидроцилиндр выталкивающей плиты машины КО-440В
КГЦ534.80-50-580	80-50	580	930	ц16-80-50-580.11	Коммунальная	2 oтв. G1/2?	Проуш. с ШС40 S=35	для подъема заднего борта мусоровоза  КО-440В
КГЦ535.100-50-160	100-50	160	425		Коммунальная	2 oтв. G3/8?	Проуш. S=30 и S=40 мм со втулками D=40 мм 	цилиндр наклона стрелы манипулятора мусоровоза  КО-440-5,6,7,8.
КГЦ536.80-50-400	80-50	400	765		Коммунальная	2 отв. М18?1.5	Проуш. с ШС40 S=35	Поворот захвата манипулятора разравнивателя КО-440-5,6,7,8
КГЦ536-01.80-50-560	80-50	560	925	ц16-80-50-560.11	Коммунальная	2 отв. М18?1.5	Проуш. с ШС40 S=35	Подъем  заднего борта манипулятора разравнивателя КО-440-5,6,7,8
КГЦ536-02.80-50-560	80-50	560	925	ц156-80-50-560.11Д	Коммунальная	2 oтв. G3/8?	Проуш. с ШС40 S=35	Излом стрелы манипулятора разравнивателя КО-440-5,6,7,8
КГЦ536-03.80-50-1000	80-50	100	1365	ц16-80-50-580.11	Коммунальная	2 отв. М18?1.5	Проуш. с ШС40 S=35	 Подъем цистерны мусоровозов КО-507А, КО-507А-2, КО-510, КО-524
КГЦ537.60-32-85	60-32	85	275	ц16-60-32-85.27	Коммунальная	2 отв. М18?1.5	1 проуш. S=30 с отв. D=20, отверстие в штоке O20	гидроцилиндр подъёма щетки КО-829А, КО-829АД
КГЦ537-01.60-32-85	60-32	85	275	ц16-60-32-85.27-01	Коммунальная	2 отв. М18?1.5	1 проуш. S=30 с отв. D=20, отверстие в штоке O20	гидроцилиндр зажима контейнеров мусоровозов КО-440-5,6,7,8
КГЦ538.80-50-425	80-50	425	665	ц16-80-50-425.11Д	Коммунальная	2 oтв. G3/8?	Проуш. с ШС40 S=35	гидроццилиндр поворота захвата мусоровозов  КО-440-5/6/7/8
КГЦ538-01.80-50-350	80-50	350	590		Коммунальная	2 oтв. G3/8?	Проуш. с ШС40 S=35	гидроццилиндр для мусоровозов  КО-440-5/6/7/8
КГЦ539.100-50-630	100-50	630	1075		Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	Гидроцилиндр прессующей плиты КО-440В
КГЦ539-01.100-50-850	100-50	850	1295		Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	"Г/ц  подающей плиты КО 440В; выдвижения секции грейдера КО-829Б1.25.00.000"
КГЦ539-02.100-50-1200	100-50	1200	1750		Спецтехника	2 oтв. G1/2?	Проуш. с ШС50 S=40 	
КГЦ539-03.100-50-630	100-50	630	960		Амкодор	2 oтв. G1/2?	Проуш. с ШС50 S=40 	650 машина
КГЦ539-04.100-50-560	100-50	560	940		Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	"Для ОАО ""Могилевтрансмаш"""
КГЦ539-05.100-50-750	100-50	750	1130		Спецтехника	2 oтв. G1/2?	Проуш. с ШС50 S=40 	"Для ОАО ""Могилевтрансмаш"""
КГЦ539-06.100-50-510	100-50	510	890		Спецтехника	2 oтв. G1/2?	Проуш. с ШС50 S=40 	"Для ОАО ""Могилевтрансмаш"""
КГЦ539-07.100-50-850	100-50	850	1295		Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	г/ц  подающей плиты КО-440В
КГЦ540.4-140-3300	140-120-100-80	3300	1560	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	Гидроцилиндр выталкивающей плиты машины КО-440В1
КГЦ541.4-140-3860	140-120-100-80	3860	1350	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	Проуш. с ШС50 S=40 	Гидроцилиндр выталкивающей плиты машины КО-440В1
КГЦ543.80-50-610	80-50	610	900	ц16-80-50-610.11Д	Коммунальная	2 oтв. G3/8?	Проуш. с ШС40 S=35	гидроцилиндр излома стрелы манипулятора КО-440-5, 6, 7, 8.
КГЦ545.60-32-250	60-32	250	515	ц16-60-32-250.01.01	Коммунальная	"М18?1.5; G1/4?"	Проуш. S=19 с ШС20	г/ц подъёма стрелы КО-507А, КО-507А-3, КО-510, КО-524, КО-560, ДКТ-245
КГЦ545-01.60-32-400	60-32	400	660	ц16-60-32-400.01.01	Коммунальная	"М18?1.5; G1/4?"	Проуш. S=19 с ШС20	"г/ц подъёма задней крышки цистерны КО-560, ДКТ-245; подъёма заднего борта КО-440-7"
КГЦ546.80-40-550	80-40	550	855	ц20-80-40-550.11	Коммунальная	2 oтв. G1/2?	Проуш. S=28 с ШС30	г/ц подъема заднего борта мусоровоза  КО-440КВ
КГЦ547.60-32-320	60-32	320	505	ц16-60-32-320.12Д	Коммунальная	2 oтв. G3/8?	"Проуш. S=23 с ШС25; проуш.S=16 с пазом 26"	гидроцилиндр подъёма скоростного плуга КО-829С2.04.00.000
КГЦ548.32-25-250	32-25	250	392		Гомсельмаш	2 отв. М12?1.5	1 проуш. S20 с ШС20, резьба в штоке М18?1.5	Подъема жатки комбайнов (слева)
КГЦ549.35-25-250	35-25	250	394		Гомсельмаш	2 штуц. М14?1.5	1 проуш. S20 с ШС20, резьба в штоке М18?1.5	Подъема жатки комбайнов (справа)
КГЦ550.32-20-260	32-20	260	435		Гомсельмаш	2 штуц. М14?1.5	Проуш. S=20 с ШС20	Подъема мотовила комбайнов
КГЦ551.63-32-320	63-32	320	567		Коммунальная	2 oтв. G1/2?	Проуш. S=20 с ШС25	"Г/ц поворота захвата опрокидывателя КО-440К20;-К15;-К8"
КГЦ552.80-40-630	80-40	630	935		Коммунальная	2 oтв. G1/2?	Проуш. S=19 с ШС30	Г/ц подъема заднего борта мусоровоза  КО-440К20, КО-440К15
КГЦ553.63-32-200-М27	63-32	200	424		Гомсельмаш	2 штуц. М20?1.5	2 резьбы М27?1.5 на штоке	Рулевого управления
КГЦ555.90-45-450	90-45	450	800		Коммунальная	штуц. М30?2, отв. G3/4?	Проуш. S=30 с ЕШС35	Гидроцилиндр прессующей плиты машины КО-440К8
КГЦ555-01.90-45-450	90-45	450	800	Датчики позиционирования	Коммунальная	штуц. М30?2, отв. G3/4?	Проуш. S=30 с ЕШС35	Гидроцилиндр прессующей плиты машины КО-440К8
КГЦ559.125-63-1400	125-63	1400	2075		Коммунальная	2 отв. М18?1.5	Проуш. с ШС50 S=40 	Гидроцилиндр портала машины КО-440А
КГЦ560.100-50-750	100-50	750	1213		Коммунальная	2 отв. М22?1.5	Проуш. S=30 мм с ЕШС45	"Гидроцилиндр подающей плиты машин КО-440 К20; КО-440 К15"
КГЦ561.160-90-1820	160-90	1820	2170		Коммунальная	2 отв. К1/2?	Сфера d=80, проуш. с отв. D=50	Гидроцилиндр плиты пресса мусоровозов типа  КО-440
КГЦ562.80-56-1265	80-56	1265	1590		Коммунальная	2 отв. М18?1.5	Проуш. с ШС50 S=40 	Гидроцилиндр поворота цистерны мусоровозов КО-560, ДКТ-245
КГЦ563.40-25-180	40-25	180	400		Коммунальная	2 отв. М18?1.5	Проуш. S=12 с отв. D=20	Гидроцилиндр поворота ковша КО-440.
КГЦ564.100-63-500	100-63	500	882		Коммунальная	см. чертеж	Проуш. S=40 мм с ШС45	"гидроцилиндр прессующей плиты машин КО-440К15; КО-440К20"
КГЦ564-01.100-63-500	100-63	500	882	Датчики позиционирования	Коммунальная	см. чертеж	Проуш. S=40 мм с ШС45	"гидроцилиндр прессующей плиты машин КО-440К15; КО-440К20"
КГЦ565.50-30-160	50-30	160	390		Коммунальная	2 oтв. G3/8?	Проуш. S=28 с ШС30	г/ц подъёма бокового отвала КО-829Б1.24.00.000
КГЦ566.60-50-750	60-50	750	1532,5		Коммунальная	2 oтв. G3/8?	"Проуш. S=35 с ШС40; резьба М36х3"	гидроцилиндр поворота бокового отвала машин КО-829Б1.24.00.000
КГЦ567.50-30-500	50-30	500	865		Коммунальная	2 отв. М22?1.5	Проуш. S=20 с ШС25	"г/ц подъёма рамы опрокидывателя КО-440К20; -К15; -К8"
КГЦ568.50-25-300	50-25	300	510		Коммунальная	2 oтв. G3/8?	Проуш. S=20 с отв. D=20	гидроцилиндр подъёма и опускания запасного колеса дорожной машины для разбрасывания песка 829
КГЦ569.100-50-465	100-50	465	885		Вездеходы	2 штуц. М27?1.5	Проуш. S=50 мм с ШС50	Гидроцилиндр для вездехода гусеничного ТТМ4901
КГЦ570.125-50-475	125-50	475	872		Вездеходы	2 штуц. М27?1.5	Проуш. S=50 мм с ШС50	Гидроцилиндр для вездехода гусеничного ТТМ4901
КГЦ573.100-63-250	100-63	250	570		Погрузчики	2 отв. М18?1.5	Проуш. с ШС50 S=45	Гидроцилиндр стрелы машины МД6.М
КГЦ576.63-56-112	63-56	112	250	Плунжерный	Пресс-подборщик	1 отв. G3/8?	2 резьбы М10 на скобе, D=20	Гидроцилиндр регулировки степени прессования Z5073070 (верхний) пресс-подборщика ПТ-800
КГЦ577.80-70-80	80-70	80	191	Плунжерный	Пресс-подборщик	1 отв. G3/8?	2 резьбы М10 на скобе, D=20	гидроцилиндр регулировки степени прессования Z4518100 (боковой) пресс-подборщика ПТ-800
КГЦ578.50-40-60	50-40	60	220	Плунжерный	Пресс-подборщик	1 штуц. М14?1.5	2отв. D=20	Гидроцилиндр привода ножей пресс-подборщика ПТ-800
КГЦ579.25-22-112	25-22	112	222	Плунжерный	Пресс-подборщик	1 отв. М12?1.5	2отв. D=15	Гидроцилиндр подъёма подборщика пресс-подборщика ПТ-800
КГЦ582.63-40-1400	63-40	1400	2890		Погрузчики	2 отв. М20?1.5	Проуш. S=28 с ШС30	Гидроцилиндр телескопа машины МД6.М
КГЦ583.50-30-320	50-30	320	555			2 отв. М20?1.5	Проуш. S=25 с втулкой отв. D=25	
КГЦ584.50-30-400	50-30	400	635			2 oтв. G3/8?	"Вилка с отв. D=18; отв. в кр. задней D=25"	
КГЦ584-01.50-30-500	50-30	500	802			2 oтв. G3/8?	"Вилка с отв. D=18; отв. в кр. задней D=25"	
КГЦ584-02.50-30-600	50-30	600	900			2 oтв. G3/8?	"Вилка с отв. D=18; отв. в кр. задней D=25"	
КГЦ585.63-36-600	63-36	600	917			2 oтв. G3/8?	2 втулки D=32	
КГЦ585-01.63-36-800	63-36	600	1117			2 oтв. G3/8?	2 втулки D=32	
КГЦ586.80-45-1050	80-45	1050	1324		Лесовозы	2 oтв. G3/8?	резьба М39х1.5, плиты с 8 отв. D=17	
КГЦ586-01.80-45-1050	80-45	1050	1324		Лесовозы	2 oтв. G3/8?	резьба М39х1.5, плиты с 8 отв. D=17	
КГЦ587.3-120-3520	120-100-80	3520	1470	Телескопический	МАЗ-КаМАЗ	1 штуц. М27?1.5	2 опоры	"гидроцилиндр подъёма кузова самосвалов ""Камаз-65111, Камаз-65115"""
КГЦ589.4-120-2080	120-100-80-56	2080	1120	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	 Проуш. с ШС35 S=30 	
КГЦ589-01.4-120-2500	120-100-80-56	2500	1120	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	 Проуш. с ШС35 S=30 	
КГЦ589-02.4-120-2620	120-100-80-56	2620	1000	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	 Проуш. с ШС35 S=30 	
КГЦ589-03.4-120-2350	120-100-80-56	2350	1000	Двухсторонний телескопический	Коммунальная	2 oтв. G1/2?	 Проуш. с ШС35 S=30 	
КГЦ590.63-36-36-147	63-36	147*2	624	Двухсторонний	Спецтехника	3 отв. М16?1.5	2 отв. D=24	371АС
КГЦ593.125-63-500	125-63	500	920		Спецтехника	Колодки фланцевого зажима	Проуш. S=65 мм с ШС 60	"Гидроцилиндр  навесного оборудования погрузчика ""Амкодор 371AC"""
КГЦ597.63-40-1680	63-40	1680	2012		Спецтехника	2 отв. М14?1.5	"Вилка D=20,5; D=20,5"	"гидроцилиндр выдвижения опор автокрана ""Галичанин"" КС-55713"
КГЦ598.63-50-1680	63-50	1680	2147		Спецтехника	2 отв. М14?1.5	Вилки с двумя отв. D=21	Гидроцилиндр раздвижения опор КС-45717
КГЦ598А.63-50-1880	63-50	1880	2147		Спецтехника	2 отв. М14?1.5	Вилки с двумя отв. D=21	Гидроцилиндр опоры автокрана
КГЦ599.63-40-1780	63-40	1780	2158		Спецтехника	2 отв. М14?1.5	Проуш. S=10 с отв. D=20, вилка D=20,5	"Гидроцилиндр выдвижения опор автокрана ""Клинцы"" КС-55713"
КГЦ600.125-50-200	125-50	200	515		Сельхозтехника	2 отв. М18?1.5	Проуш. S=50 мм с ШС 50	Навесного устройства К-744 серии P
КГЦ604.4-120-1500	120-100-80-56	1500	533	Телескопический	Сельхозтехника	1 штуц. М20?1.5	Цапфы d=45, сфера d=50	Гидроцилиндр для механизма предварительного подъема самосвальной платформы тракторных прицепов 2ПТС-6
КГЦ608.63-40-500	63-40	500	760		Спецтехника	2 отв. М20?1.5	2 отв. М24?2	гидроцилиндр испытательного оборудования
КГЦ608-01.63-40-800	63-40	800	1060		Спецтехника	2 отв. М20?1.5	2 отв. М24?2	гидроцилиндр испытательного оборудования
КГЦ609.80-50-770	80-50	770	1088		Спецтехника	2 отв. М20?1.5	2 резьбы М36?1.5 на штоке	гидроцилиндр для испытательного оборудования
КГЦ610.4-140-4950	140-120-100-80	4950	1530	Телескопический	МАЗ-КаМАЗ	G3/4?	" Проуш. с ШС50 S=58; Цапфы d=60"	гидроцилиндр подъема платформы автомобилей МАЗ-6514Н9-470-000, МАЗ-6501В9-420, МАЗ-6516ХХ
КГЦ612.125-56-630	125-56	630	952		Спецтехника	2 отв. М20?1.5	резьба на штоке М42?1,5	гидроцилиндр для испытательного оборудования
КГЦ615А.4-140-2400	140-120-100-80	2400	840	Телескопический	Спецтехника	1 штуц. М26?1.5	Цапфы d=50, сфера D=75	Гидроцилиндр прицепа тракторного ПТС-12, ПТС-15.
КГЦ616.63-40-335	63-40	335	670		Коммунальная	2 oтв. G3/8?	Проуш. S=28 с ШС30	гидроцилиндр для коммунальной техники
КГЦ618.80-63-760	80-63	760	1050		Коммунальная	2 oтв. G1/2?	Проуш. с ШС40 S=35	Гидроцилиндр подающей плиты машины KBR-P8M
КГЦ619.50-30-240	50-30	240	430		Коммунальная	2 oтв. G3/8?	Проуш. S=23 с отв. D=25	"Гидроцилиндр для коммунальной техники производства ОАО ""Коммаш"" г. Арзамас"
КГЦ620.63-36-345	63-36	345	640		Коммунальная	2 oтв. G3/8?	Проуш. S=20 с ШС25, вилка с отв. D=30	Гидроцилиндр для коммунальной техники
КГЦ621.40-25-63	40-25	63	215		Спецтехника	2 oтв. G3/8?	Проуш. S=20 с ШС20	гидроцилиндр высоконапорной и низконапорной рейки (щелевая)
КГЦ621-01.40-25-125	40-25	125	277		Спецтехника	2 oтв. G3/8?	Проуш. S=20 с ШС20	гидроцилиндр поворота рейки машины КО-829Б1.28.00.
КГЦ621-02.40-25-800	40-25	800	961		Спецтехника	2 oтв. G3/8?	Проуш. S=20 с ШС20	гидроцилиндр выдвижения рейки машины КО-829Б1.28.00.
КГЦ623.80-40-280	80-40	280	580		Сельхозтехника	2 oтв. G3/8?	Проуш. S=35 с ШС40 с защитой	Рул. управления трактора BELARUS-4522
КГЦ626.125-100-580	125-100	580	925		Спецтехника	2 отв. М14?1.5	"Сфера R38; D=154"	гидроцилиндр опоры автокрана КС-45717
КГЦ626-01.125-100-580	125-100	580	925		Спецтехника	2 отв. М14?1.5	"Сфера R38; D=154"	
КГЦ626А.125-100-580	125-100	580	900		Спецтехника	2 отв. М14?1.5	"Сфера R38; фланец 4 отв. D=18"	гидроцилиндр опоры автокрана 
КГЦ627.125-100-580	125-100	580	925		Спецтехника	"М14?1.5; М33?2"	"Сфера R38; D=154"	гидроцилиндр опоры автокрана
КГЦ627-04.125-100-700	125-100	700	1100		Спецтехника	"М14?1.5; М33?2"	"Сфера R38; D=154"	гидроцилиндр опоры автокрана
